Z,mass,electronegativity,row,group,mendeleev_no,atomic_radii,0_subshell_energy,0_subshell_occupancy,1_subshell_energy,1_subshell_occupancy,2_subshell_energy,2_subshell_occupancy,character_d,character_f,character_p,character_s,0_subshell_symmetry_d,0_subshell_symmetry_p,0_subshell_symmetry_s,1_subshell_symmetry_d,1_subshell_symmetry_e,1_subshell_symmetry_f,1_subshell_symmetry_p,1_subshell_symmetry_s,2_subshell_symmetry_d,2_subshell_symmetry_e,2_subshell_symmetry_f,2_subshell_symmetry_p,2_subshell_symmetry_s,element
63,151.964,1.2,8,9,18.0,1.85,-0.12942599999999999,1.0,-0.232773,0.5,-0.853575,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Eu
64,157.25,1.2,8,10,27.0,1.8,-0.12722,0.1,-0.143627,1.0,-0.489012,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Gd
65,158.92535,1.1,8,11,26.0,1.75,-0.131677,1.0,-0.256311,0.6428571428571429,-0.88723,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Tb
66,162.5,1.22,8,12,24.0,1.75,-0.132769,1.0,-0.265302,0.7142857142857143,-0.90349,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Dy
67,164.93032,1.23,8,13,23.0,1.75,-0.133845,1.0,-0.272677,0.7857142857142857,-0.9194629999999999,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Ho
68,167.25900000000001,1.24,8,14,22.0,1.75,-0.134905,1.0,-0.278577,0.8571428571428571,-0.9352020000000001,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Er
69,168.93421,1.25,8,15,21.0,1.75,-0.135953,1.0,-0.28312,0.9285714285714286,-0.9507479999999999,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Tm
70,173.04,1.1,8,16,17.0,1.75,-0.136989,1.0,-0.286408,1.0,-0.9661370000000001,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Yb
71,174.967,1.27,8,17,20.0,1.75,-0.10368599999999999,0.1,-0.155112,1.0,-0.568096,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Lu
72,178.49,1.3,6,4,50.0,1.55,-0.143805,0.2,-0.166465,1.0,-0.871574,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Hf
73,180.94788,1.5,6,5,52.0,1.45,-0.174814,1.0,-0.18246400000000002,0.3,-1.199347,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Ta
74,183.84,2.36,6,6,55.0,1.35,-0.18141300000000002,1.0,-0.22060300000000002,0.4,-1.504457,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,W
75,186.207,1.9,6,7,58.0,1.35,-0.186859,1.0,-0.258639,0.5,-1.631227,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Re
76,190.23,2.2,6,8,63.0,1.3,-0.19148900000000002,1.0,-0.29679099999999997,0.6,-1.7574040000000002,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Os
77,192.217,2.2,6,9,66.0,1.35,-0.195511,1.0,-0.335189,0.7,-1.8833490000000002,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Ir
78,195.084,2.28,6,10,68.0,1.35,-0.16130799999999998,0.5,-0.273634,0.9,-1.8842560000000002,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Pt
79,196.966569,2.54,6,11,70.0,1.35,-0.16233399999999998,0.5,-0.304738,1.0,-2.002495,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Au
80,200.59,2.0,6,12,74.0,1.5,-0.20513699999999999,1.0,-0.45255200000000007,1.0,-2.261975,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Hg
81,204.3833,1.62,6,13,78.0,1.9,-0.101507,0.16666666666666666,-0.28502,1.0,-0.6745439999999999,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Tl
82,207.2,2.33,6,14,82.0,1.8,-0.14183099999999998,0.3333333333333333,-0.357187,1.0,-0.902393,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Pb
83,208.9804,2.02,6,15,87.0,1.6,-0.180198,0.5,-0.426129,1.0,-1.139408,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Bi
84,210.0,2.0,6,16,91.0,1.9,-0.217889,0.6666666666666666,-0.49352799999999997,1.0,-1.386458,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Po
85,210.0,2.2,6,17,96.0,,-0.25545300000000004,0.8333333333333334,-0.560189,1.0,-1.6437580000000003,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,At
86,220.0,2.2,6,18,6.0,,-0.29318,1.0,-0.62657,1.0,-1.911329,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Rn
87,223.0,0.7,7,1,7.0,,-0.076176,0.5,-0.46619700000000003,1.0,-0.8418479999999999,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Fr
88,226.0,0.9,7,2,13.0,2.15,-0.113732,1.0,-0.634674,1.0,-1.05135,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Ra
89,227.0,1.1,9,3,48.0,1.95,-0.126551,1.0,-0.137786,0.1,-0.744524,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Ac
90,232.03806,1.3,9,4,47.0,1.8,-0.135872,1.0,-0.172896,0.2,-0.8469209999999999,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Th
91,231.03588,1.5,9,5,46.0,1.8,-0.129653,1.0,-0.142481,0.1,-0.316813,0.14285714285714285,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Pa
92,238.02891,1.38,9,6,45.0,1.75,-0.130948,1.0,-0.14319,0.1,-0.366543,0.21428571428571427,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,U
